Crossover	Uniform	Swap	Inversion	Shift
18874	34141	34647	33059	23475
18904	32603	34163	33782	25372
18905	33132	33947	35064	24759
18883	36199	34037	35623	27269
19230	34844	34389	33599	24820
18851	31773	34653	33469	24877
18895	35352	33735	33955	23953
19017	32731	32807	34239	24759
18936	34852	34106	33907	25228
18927	35892	34621	34666	24759
18922	33805	34001	33482	26068
18922	36003	33999	35132	23857
19015	33405	32017	35452	24998
18898	33157	34968	32556	26425
18883	35035	33945	34353	25208
18936	32556	34273	35534	24548
19117	33935	34449	33000	25316
18922	32635	34024	34032	24740
18877	34332	34321	34093	24587
18855	33987	33960	33598	27204
19232	33023	34126	34375	24629
18922	36181	32666	33278	23690
18874	33059	32456	32080	25928
18941	34329	35004	33272	27614
18927	36301	33045	35684	23977
18922	34797	33399	33616	24143
18874	32379	34302	32922	26726
18927	34329	32755	33781	25430
18922	36375	34180	33419	25676
18810	34883	33784	32599	23281
18876	34227	35030	34275	29007
18922	32777	34373	34700	26011
18876	32335	35564	34286	25624
18902	34542	35530	34474	24110
18865	33774	35771	33179	23980
18936	34132	34632	32527	23790
19289	33845	33682	33543	24776
18904	31581	34476	33941	26123
18909	33604	33136	33337	26016
19086	34364	33817	32626	24094
19178	33646	33330	34103	24548
19201	35815	35456	33856	25080
19318	34458	34557	31712	25138
18874	34116	34191	34700	23539
18868	35478	32124	35079	27431
19211	34341	33313	33700	25535
18883	33580	33669	34482	25339
18831	33457	35382	34001	25224
18941	34174	33244	34365	25809
18900	32858	33761	33399	26368
18875	32196	33544	32397	25109
18878	32945	34142	34329	26309
18907	33961	33945	35461	24598
18922	33779	33440	34274	22898
18855	33507	33398	34239	25077
18863	33483	33394	33605	27153
18883	33488	32536	35093	23041
18922	36074	33171	36044	26485
18952	32258	34310	34998	26864
18835	35563	35335	35206	26028
18895	34145	32361	34255	25883
18907	33618	33952	36137	27014
18951	34708	33943	33774	25606
19178	33808	33529	33064	25577
18922	32921	34052	34550	24669
18904	33118	36494	33740	25858
18907	33940	36019	33102	24216
18936	33430	33550	32931	24518
18956	34273	34153	33388	26630
18907	35630	34542	34739	23887
18922	31692	33287	33802	23969
18883	32934	33934	33314	26225
18860	35298	33894	33654	24736
18859	33451	33339	36266	25142
18879	35412	32393	34615	24728
18895	35351	34576	33181	25432
18951	33584	35204	33317	23615
18922	34518	33996	33822	24202
19054	33132	34454	34626	26311
18866	33488	33152	35183	24449
18907	33094	32915	35258	26527
18834	33823	34289	33054	25976
18941	33373	34229	34353	26636
19232	34522	33815	33771	25356
18888	34336	35103	35101	24859
19139	33770	30699	34720	25492
18932	34033	32791	32116	25482
18855	34243	35007	34605	25703
18939	33818	34521	33646	25091
18899	34444	33586	34502	24160
18900	30005	34089	33089	26276
18941	35239	34438	34830	25634
18892	31816	33867	33010	26805
18890	34884	34892	33122	26663
18867	34685	33104	34840	26480
18890	34104	32460	33512	24781
18922	32596	33603	34302	24259
19255	34882	32482	33116	25971
18835	32998	34459	35820	23820
18904	33919	33075	32450	24969
18865	33651	34842	32826	26404
18907	32991	33062	35971	25569
18881	33875	35660	34599	26282
19062	34717	34916	36049	26315
18813	34620	35282	31972	24281
18981	33933	34031	33681	24684
18878	34800	33722	33748	25001
18927	35475	33493	32896	24698
18904	35712	33875	32528	25277
18879	34588	32919	34962	26191
18821	32267	34340	34293	25398
18904	33200	33935	32806	26294
18870	32498	32750	34438	26964
18841	31756	35303	35106	24032
18835	34238	33641	35085	23930
18829	31708	34275	33514	27129
18851	34113	32881	33139	23620
18890	34820	33797	33739	26155
18835	34432	33914	33504	25174
18838	33007	34792	34334	23233
18879	34481	32513	33135	24784
19111	32024	34194	33060	26261
18909	35129	33895	35235	24662
18936	32266	33732	34459	25528
18895	34789	34750	33598	24685
18904	34573	34699	34087	24651
18895	34748	33808	33586	25828
18922	33619	34025	33881	26309
18883	32925	33499	33631	26435
18900	33656	33332	34707	25685
18852	31952	33426	32838	26020
18904	33315	34406	33852	24441
18904	32438	34726	35095	25759
18858	32958	35211	32272	25715
18799	35147	32938	33335	25411
18900	32218	35548	34621	24945
18820	34711	32805	34481	26875
18895	32964	34457	35389	26111
18878	32941	34531	34975	24711
18922	29654	34515	34702	24115
18939	35177	33438	33635	24121
18904	35433	33712	34187	24995
18944	34120	33049	33441	24275
18971	31538	34349	34660	25630
18916	32634	31080	33227	26190
18812	35969	34101	32901	25080
18927	33186	33266	33879	24183
18940	33140	33200	34106	26125
18904	35213	34521	34103	24063
18860	34678	33838	35217	23801
18849	34212	33833	34251	27856
18866	34120	34867	32864	26782
18860	34095	33891	34404	25626
18936	33577	33472	34457	26658
18922	32321	34796	33529	26213
18919	34230	33856	33631	24176
18884	34121	35376	33357	23401
18928	32626	31738	34265	26458
18883	34704	32673	33987	25556
18907	33549	34599	34781	25944
18887	34504	32985	32352	23921
18831	33805	33634	35223	24812
19116	34759	32997	33260	22815
19104	33827	34864	34628	25385
18944	31461	31839	33578	24000
18851	32283	33760	33652	27021
18904	34272	35117	33370	23810
18900	35705	33245	35295	28133
18922	34399	34020	31780	23813
18938	35967	35493	34372	26076
18843	33247	35181	34714	24952
18870	34995	35237	33867	24798
18906	34116	35198	32331	26426
18818	33324	34778	34167	23984
18927	32441	33000	33897	24298
18883	34008	32252	33304	26373
18870	33733	33900	33921	25920
19197	32546	35252	34100	25211
18870	32300	34392	34499	23529
18875	35400	34194	34221	26952
19158	34362	34737	33119	24671
18944	33355	35320	33490	25600
18904	34315	33750	33698	25352
18836	35716	33933	33981	24433
19036	33378	32999	34098	24832
18773	34893	32981	34096	24571
19016	34184	33019	34496	24525
19104	31453	33072	33366	22010
18900	35011	34346	33840	26445
18895	34479	32043	32419	27038
18870	34408	34012	34258	23525
18936	34527	33569	34431	24772
18936	34444	33789	35171	24264
18880	34769	34111	33424	24191
18889	34862	32518	32486	26640
18892	34588	35191	32948	25435
18942	33102	34726	31984	24662
18877	35556	32813	34425	27395
19005	34084	33192	34308	25309
18922	34982	33438	33630	24186
18922	33605	32964	36476	26298
18909	35778	34902	34235	26097
18874	32705	32755	33753	24832
18904	33143	33228	34082	22874
18904	34733	31775	34632	25020
18904	33330	35244	33442	24873
18895	34712	34647	34483	24810
19025	35049	32696	35736	25790
18895	34867	34146	33330	25991
19067	32700	31697	35041	24513
19037	33458	34129	33431	23867
18947	35279	32959	35441	23871
18922	33188	34634	35491	24192
18882	36314	34237	32660	25352
18909	34222	34417	34639	25748
18883	34772	34202	34436	25288
18812	35405	34183	31689	27116
18897	35950	34157	34709	24978
18895	33266	32248	33690	26743
18895	34943	34107	34154	24994
18922	35405	34768	34096	24555
19258	35139	35159	35714	26403
18936	33018	33425	33137	25647
18876	33942	33640	34196	25718
18922	32018	33255	33635	23846
18860	32136	34690	34864	26457
18936	35130	32639	33317	25920
18878	34835	34104	32633	24213
18856	35486	32867	33902	25282
18936	34357	32853	36402	26290
18883	36037	33261	34503	25070
18904	32489	33694	33329	24090
18888	32316	34821	34897	26353
18905	33236	35759	35319	26778
18934	34538	32236	33157	26850
18953	35176	34543	33820	25664
18979	33215	34903	32508	23364
18904	33758	36160	35565	26468
18997	36199	32860	34154	25021
18883	32505	34617	33159	26483
18883	34090	33156	34230	24385
19151	33112	34983	33300	26354
18922	33080	34562	35460	26306
18840	34627	34478	35623	26824
18830	36432	34183	34922	24029
19214	32557	33818	35372	26745
18838	31619	33866	34116	24080
18851	33992	33033	34563	25021
18914	34837	33182	33569	24038
18817	34665	32433	34962	25448
18956	33189	32199	34565	25251
18939	34361	35194	33622	25953
18843	31986	33667	33806	23398
18922	32605	33824	33738	25261
18922	32526	33865	34729	25971
18904	33678	33613	34272	24208
18865	33185	33071	33999	25576
18936	33775	34510	35593	26026
19371	34815	34756	33059	25957
19013	34312	33357	34046	24619
19018	33904	33104	33787	26749
18903	32472	33047	33792	25336
18852	32685	33725	33401	25183
18922	33912	34186	32536	25772
18900	32993	33810	33253	25081
19009	36105	34437	35652	25308
18976	36157	34618	34324	24053
19271	35605	33125	33591	25560
18891	30768	34019	35366	26408
18922	34905	32638	33098	24708
18922	34760	33276	35369	25752
18907	34201	35217	33980	25841
18922	34573	34415	34379	23731
18878	34838	34324	34773	25678
19017	33927	32322	31823	25807
18889	34098	34054	33336	26367
19378	33264	31694	34473	25395
19181	32018	32656	33173	25200
18949	31133	33222	35667	24220
18878	34250	33639	34344	24667
18892	35118	33069	35180	24908
18900	33385	33351	33374	23779
18904	34813	33449	33896	27643
19014	31894	33923	34269	26350
18874	33993	33501	34895	26426
18966	32057	34645	35379	23994
18922	34927	33989	33703	26349
18927	33993	34025	34086	24372
18835	32514	34741	33954	24718
19200	33946	34348	33092	23275
18895	33688	33649	31280	23319
18865	33127	34126	33371	25932
18906	35177	32562	34172	26183
18812	33348	33566	33843	24942
18922	32260	34554	35545	24244
18883	34356	32421	32717	25013
18829	35545	34037	33923	25303
18936	33554	32693	34153	24853
18768	32619	33954	34038	27131
18947	32678	34627	34434	26184
18817	32886	34613	33039	23879
18942	34319	34223	33837	23705
18878	34612	33256	34600	25406
18758	34059	35872	35476	23518
18858	34337	33855	34317	26818
18834	34091	33744	34292	25343
19192	35085	33140	34061	25008
18883	35447	34060	35190	25005
19331	34421	33938	33858	24492
18937	36494	33679	33328	24841
18812	35203	34205	33390	26373
18904	31128	35238	34242	25192
18898	33872	33518	32002	26258
18878	34813	34907	34650	25004
18847	32944	34662	33373	25374
18886	33537	35014	33147	26386
18922	35115	33619	34453	25252
18865	34806	35193	33558	22681
18858	33281	32262	32852	23070
19128	32132	32602	34247	25725
18947	34494	33368	34772	26024
18909	33485	35616	34327	25054
18900	32787	34913	34168	25891
18922	33652	33060	34262	27048
18890	36361	35864	34486	25956
18879	34402	34633	34638	23990
18895	32914	33423	33616	25622
19189	32786	33338	33404	27367
18813	34582	32612	33870	25492
18883	34533	33155	31479	25229
18950	32083	35415	32957	24086
18927	33236	33374	35109	23485
18883	34704	33655	33712	23733
18809	33922	34136	34815	22949
18922	33436	34704	32422	24834
18851	34760	35827	33785	24485
19041	32819	36099	33087	23844
19007	34201	33540	34549	25531
18834	34548	34358	34915	24374
18962	32530	32742	34164	24299
19368	34951	33745	34941	24768
18892	32716	33370	34465	26253
18907	34154	34061	32591	27209
18927	33358	34749	32251	25327
18856	34792	35380	33844	24774
18922	31843	34517	35242	25104
18910	33698	32292	33540	24478
18883	31632	35076	32710	24491
18829	33802	32652	34033	25215
18845	35185	33767	34878	25947
18874	34144	33046	33518	25398
18895	33932	31612	32975	25494
18834	31862	32084	34038	24456
18932	31975	34852	33608	24508
19045	33648	35251	34692	27086
18874	34502	33889	34184	23740
18964	33950	33992	33745	22418
18909	33682	34511	33307	26142
18954	33365	35480	34249	25030
18888	35471	34391	33069	25417
18922	35485	35252	33346	23964
18843	36035	35168	32604	25271
19122	34353	33949	33458	24576
18909	35687	35222	33513	25553
18892	31650	33541	34455	26426
18956	35082	34790	33434	24422
18861	31668	33601	33776	25951
19121	34768	33921	34507	24241
18909	34670	35611	34973	27169
18889	35337	34851	33540	24387
18878	33534	33379	34590	26353
18922	32750	33542	33280	24270
18922	33691	36670	34480	25394
19100	34812	34845	34277	25838
18909	34318	35795	33137	26601
18925	34925	32497	35771	24273
18896	34578	33878	34569	24310
18878	30898	33073	33635	26084
18838	33387	35552	33639	26768
18870	33736	34143	33922	25858
18904	35284	35441	34118	26691
18879	34350	34819	33881	24992
18832	33694	32794	34247	26643
18895	34780	35236	32638	24709
18892	33398	33596	33595	24676
18889	33296	32664	33915	24778
19183	33124	32778	35213	24049
18870	33690	34640	33077	26429
18904	33863	33893	33894	24990
18874	31547	34780	33998	25584
18853	33016	34106	32728	23749
18912	32719	31938	34360	24562
18922	35278	35709	33643	24884
18939	34966	34702	33677	24363
18812	33618	35449	34198	23911
18865	33405	34062	33376	25104
18922	35427	34321	33761	23583
18856	34642	34999	31576	23225
18904	34433	33782	33492	24345
18831	33512	34010	33218	25141
18856	33079	34663	33236	23353
18932	34703	33306	36234	24330
18967	32901	35249	33430	26625
18900	34363	35093	32589	24970
18922	33085	32123	34256	26483
19165	32733	35115	33735	25472
18922	34797	33960	33359	24806
18892	33833	33356	33408	24757
18922	34701	34201	34943	26675
18848	33369	33573	34359	24413
18991	35991	32631	33633	25415
18922	33935	33710	34747	23959
19023	34565	32328	32990	23754
18856	33375	32069	33623	26520
18936	35700	33889	34008	24462
19032	33474	35368	34125	25312
18900	35090	33345	30886	25359
18907	32271	35272	35387	27349
18776	34651	35914	34086	27911
18900	32575	33317	33871	25666
18876	33141	35955	33824	26045
19053	34761	34645	31871	24412
19171	34131	34389	32776	26443
18892	33814	35472	33607	24117
18911	35391	35074	34305	25225
18895	33419	32370	34816	26786
18909	32145	33327	31359	26314
18829	33184	33913	33739	27610
18922	32572	34211	33012	25235
18892	35212	32923	33873	24038
18993	33991	33078	34381	24807
18874	33981	34838	32146	26386
18870	32649	33893	32138	28073
18845	34054	33574	33153	23281
19061	34915	34266	32851	24582
19003	35162	34194	35217	22839
18922	34645	34619	32358	26050
18927	35931	33729	33941	26093
18941	34288	33694	33621	24815
19115	34693	35100	34753	25836
18936	34003	34893	34892	25948
18904	32394	33660	34240	25017
18999	33298	33051	35201	24474
18922	34606	35406	33078	24968
18835	33265	34907	34070	24278
18868	33244	34010	36696	24646
18904	33631	33028	33079	25312
18922	33873	35648	32584	25308
18895	33644	32146	34288	22384
19294	34355	34152	33982	25982
18837	32688	34283	32746	23476
18922	34155	34037	33275	24129
18888	34586	34122	34324	24406
18848	34074	33942	34026	26663
19011	34866	33680	34015	25627
18868	33866	31951	33944	25004
18936	32712	34180	34877	26844
18982	34556	33884	34592	23646
18904	35009	33381	33377	24837
18922	35837	34349	31885	25443
18879	33217	32338	34170	25925
18892	32677	33350	34215	24501
18922	33011	32542	34163	25467
18856	33339	31333	32863	26576
18919	32848	32783	33488	25086
18863	34589	34764	33917	25603
18812	32936	33725	35169	23856
18890	36629	35614	32427	25799
18852	32788	33239	34277	25370
18821	33949	33357	35410	23443
18898	34641	33648	34876	25170
18901	34192	36105	33655	25142
18876	33215	35279	33393	27947
18893	33607	32862	34376	23919
18922	35153	34422	34359	24152
18900	33164	33560	33344	23945
18874	34073	33499	34610	23119
18944	34638	32660	35295	21712
18940	33863	35308	33580	23875
18867	32663	33383	31680	23569
18903	34257	34289	33003	25866
18922	32864	32608	35380	24130
19030	34979	32202	31864	24501
18907	33486	35063	34968	22353
18944	35402	34875	34028	25922
18904	33768	34819	34532	24583
18831	34262	35123	34641	25511
18922	33492	35332	33305	25301
18922	34081	34212	34532	27433
18900	34422	33735	35179	25901
18922	33740	33425	33487	24226
19088	33430	34806	34930	25069
18878	32195	34513	32758	25955
18838	32856	34596	35225	23192
19103	34790	34219	34376	24000
18922	33285	33855	34691	24700
18883	32037	33466	35925	27479
18830	35596	34097	34502	25276
18909	34547	33559	33981	26958
18968	34615	32905	34126	25472
18895	33000	32759	36118	25524
18866	33041	32997	33983	25967
18874	34291	33625	33356	27101
18808	31165	34473	36488	26162
18860	34419	35869	33961	24437
18860	33924	33691	34235	26603
18922	34316	32720	35050	26722
18907	32837	34330	32570	25373
19003	34246	33822	33941	26221
18782	32594	34457	31550	26663
18853	34809	34486	33610	24861
18874	34346	34649	35094	26097
19287	33070	34217	35810	24467
18843	34564	32781	34390	24818
18880	35392	34462	33128	24257
18881	34795	33789	34325	25010
